               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049048,            0.028303,            0.035531,             0.58047,             0.37644,             0.28628,             0.19517,            0.012709,            0.011672,            0.013002,            0.070194,           0.0033118,           0.0033118
                   1,             0.02938,            0.015238,            0.023574,              0.2725,             0.43831,             0.35463,             0.26732,            0.012035,           0.0081345,            0.011522,            0.040128,           0.0065794,           0.0065794
                   2,            0.027576,            0.011496,             0.01923,             0.24099,             0.73233,              0.3743,             0.33207,            0.014082,           0.0063865,            0.009425,            0.009996,           0.0097809,           0.0097809
                   3,            0.023834,            0.010292,            0.018061,             0.40904,             0.70449,             0.56941,             0.53916,           0.0098192,           0.0061739,           0.0094415,            0.009703,            0.009703,            0.009703
                   4,            0.019409,            0.009121,            0.017404,             0.56785,             0.79049,             0.71896,             0.68577,           0.0087733,           0.0051673,           0.0064339,            0.009703,            0.009703,            0.009703
                   5,            0.017198,           0.0085485,            0.016434,             0.47848,              0.6606,             0.60201,             0.54543,           0.0052469,           0.0066628,            0.010753,            0.009604,            0.009604,            0.009604
                   6,            0.015636,           0.0082402,            0.015723,             0.57942,             0.75974,             0.73432,             0.65766,           0.0054596,           0.0050373,           0.0068698,            0.009505,            0.009505,            0.009505
                   7,            0.014352,           0.0079153,             0.01475,             0.53121,             0.80019,             0.65954,             0.65054,             0.00613,           0.0055362,           0.0074184,            0.009406,            0.009406,            0.009406
                   8,            0.012636,           0.0069162,            0.013438,             0.65179,             0.84007,             0.78611,             0.76984,           0.0037539,           0.0036669,           0.0059222,            0.009307,            0.009307,            0.009307
                   9,            0.013083,           0.0067271,            0.013536,             0.59297,             0.74975,             0.70215,             0.68816,           0.0053899,           0.0046597,           0.0085325,            0.009208,            0.009208,            0.009208
                  10,            0.012515,           0.0066986,            0.013697,             0.68754,             0.76457,             0.76416,             0.72233,              0.0053,           0.0056126,           0.0061971,            0.009109,            0.009109,            0.009109
                  11,            0.011124,           0.0061079,            0.013115,             0.65418,             0.83176,             0.79367,             0.77667,           0.0034395,           0.0045121,           0.0056731,             0.00901,             0.00901,             0.00901
                  12,            0.013224,           0.0059843,            0.013445,             0.70281,             0.74647,             0.74908,             0.74452,           0.0044634,           0.0065447,           0.0068765,            0.008911,            0.008911,            0.008911
                  13,            0.010732,            0.005975,            0.012959,             0.66777,              0.8288,             0.79484,             0.75905,           0.0044176,           0.0060962,            0.005367,            0.008812,            0.008812,            0.008812
                  14,            0.010163,           0.0056423,            0.012309,             0.64274,             0.78981,             0.75381,             0.72948,           0.0038889,           0.0035493,           0.0059796,            0.008713,            0.008713,            0.008713
                  15,           0.0096304,           0.0057952,            0.012628,             0.62848,             0.80085,             0.78452,             0.75429,           0.0036676,           0.0049333,           0.0056535,            0.008614,            0.008614,            0.008614
                  16,           0.0095953,           0.0055328,            0.013145,             0.73987,             0.79136,             0.81311,             0.79861,           0.0035615,           0.0039877,           0.0050373,            0.008515,            0.008515,            0.008515
                  17,           0.0089268,           0.0052666,            0.011808,             0.63766,             0.80506,             0.80153,             0.78509,           0.0026572,           0.0057088,           0.0053356,            0.008416,            0.008416,            0.008416
                  18,           0.0090678,           0.0052073,            0.012155,              0.6705,             0.83796,             0.78721,             0.78553,           0.0034006,           0.0051339,           0.0055004,            0.008317,            0.008317,            0.008317
                  19,           0.0086109,           0.0051902,            0.012006,             0.73656,             0.75941,              0.7899,             0.77836,           0.0040185,           0.0038413,            0.005259,            0.008218,            0.008218,            0.008218
                  20,           0.0086552,           0.0051648,            0.011957,             0.70158,             0.80427,             0.79652,             0.77599,           0.0030322,           0.0042104,           0.0053563,            0.008119,            0.008119,            0.008119
                  21,           0.0089579,           0.0049778,            0.012695,             0.70286,             0.87714,             0.83235,             0.79817,           0.0031018,           0.0035776,           0.0048905,             0.00802,             0.00802,             0.00802
                  22,           0.0088014,           0.0051112,            0.011899,             0.71685,             0.77033,             0.79116,             0.78694,           0.0028825,           0.0040156,           0.0055206,            0.007921,            0.007921,            0.007921
                  23,           0.0085778,           0.0047818,            0.012129,             0.69295,             0.81791,              0.7956,             0.79454,           0.0023817,           0.0037077,            0.006035,            0.007822,            0.007822,            0.007822
                  24,           0.0083529,           0.0047132,             0.01168,             0.63242,                0.82,             0.75266,             0.74888,           0.0025055,           0.0036551,            0.005639,            0.007723,            0.007723,            0.007723
                  25,           0.0084151,           0.0048908,             0.01154,             0.74218,             0.75298,             0.80006,             0.79798,            0.002423,           0.0035621,           0.0051768,            0.007624,            0.007624,            0.007624
                  26,           0.0072785,           0.0045561,             0.01168,             0.66304,             0.75262,             0.77195,             0.76392,           0.0026712,           0.0040928,           0.0057538,            0.007525,            0.007525,            0.007525
                  27,           0.0075674,           0.0046773,            0.010713,             0.71221,             0.81395,             0.82631,             0.82232,           0.0021422,           0.0064888,           0.0050352,            0.007426,            0.007426,            0.007426
                  28,           0.0071714,           0.0043024,            0.011614,             0.78199,             0.70162,             0.77076,             0.76875,            0.002286,           0.0048081,           0.0058716,            0.007327,            0.007327,            0.007327
                  29,           0.0073646,           0.0043105,            0.010967,             0.70706,             0.74273,             0.81265,             0.80656,           0.0022043,           0.0040416,           0.0052184,            0.007228,            0.007228,            0.007228
                  30,           0.0075618,           0.0042433,            0.010782,             0.70635,              0.8781,             0.83521,             0.83454,           0.0023227,            0.004683,           0.0047173,            0.007129,            0.007129,            0.007129
                  31,           0.0076011,            0.004335,            0.010499,             0.76052,             0.76188,             0.82729,             0.82459,            0.002091,           0.0045969,           0.0047746,             0.00703,             0.00703,             0.00703
                  32,           0.0072645,           0.0041386,            0.011149,             0.76308,             0.80247,             0.84806,             0.84777,           0.0022071,           0.0032087,           0.0045024,            0.006931,            0.006931,            0.006931
                  33,           0.0070992,           0.0040151,            0.011002,             0.69238,             0.81006,             0.83036,             0.82424,           0.0025348,           0.0034035,           0.0047848,            0.006832,            0.006832,            0.006832
                  34,           0.0066615,           0.0040958,            0.010241,             0.68627,             0.84143,             0.83958,             0.83641,           0.0020161,           0.0022585,           0.0047635,            0.006733,            0.006733,            0.006733
                  35,           0.0062887,           0.0040436,            0.010875,             0.72232,             0.80348,             0.80176,             0.79863,           0.0022043,           0.0051676,           0.0053503,            0.006634,            0.006634,            0.006634
                  36,           0.0066711,           0.0040205,            0.010109,             0.75686,             0.80603,             0.83485,             0.83047,           0.0021704,           0.0049653,           0.0047757,            0.006535,            0.006535,            0.006535
                  37,           0.0069744,           0.0038597,            0.010595,              0.7266,             0.80269,             0.82917,              0.8274,           0.0020749,           0.0044537,           0.0046962,            0.006436,            0.006436,            0.006436
                  38,           0.0060663,           0.0037613,            0.010757,              0.6805,              0.8704,             0.80645,             0.80183,           0.0018047,           0.0024624,            0.004981,            0.006337,            0.006337,            0.006337
                  39,           0.0063459,           0.0038511,           0.0098627,             0.75512,             0.79796,             0.82534,             0.80743,           0.0022881,           0.0056367,           0.0048343,            0.006238,            0.006238,            0.006238
                  40,           0.0060417,           0.0037227,             0.01093,             0.74577,             0.83321,             0.84426,             0.84316,           0.0016442,           0.0068105,           0.0045544,            0.006139,            0.006139,            0.006139
                  41,           0.0067049,            0.003783,            0.010509,             0.66827,              0.8725,             0.84094,              0.8408,           0.0018659,           0.0055342,           0.0046216,             0.00604,             0.00604,             0.00604
                  42,           0.0064221,           0.0037815,             0.01082,             0.71954,             0.80083,             0.82878,             0.82412,           0.0019676,           0.0051428,           0.0049399,            0.005941,            0.005941,            0.005941
                  43,           0.0062965,           0.0036609,           0.0098337,             0.74318,             0.80749,              0.8372,             0.83345,            0.001695,           0.0044483,           0.0046416,            0.005842,            0.005842,            0.005842
                  44,           0.0059283,           0.0036726,            0.010623,             0.68658,             0.86439,             0.83349,             0.83248,           0.0018462,           0.0043609,           0.0046914,            0.005743,            0.005743,            0.005743
                  45,           0.0056618,           0.0036444,            0.010268,              0.7489,             0.81087,               0.812,             0.81151,           0.0018266,           0.0056458,           0.0049675,            0.005644,            0.005644,            0.005644
                  46,           0.0061938,           0.0036454,           0.0096436,             0.75954,             0.78223,             0.82138,             0.81998,           0.0016713,            0.005732,           0.0047899,            0.005545,            0.005545,            0.005545
                  47,           0.0053026,           0.0035197,            0.009586,             0.74263,             0.83493,             0.84268,             0.83986,           0.0023832,            0.005889,           0.0045907,            0.005446,            0.005446,            0.005446
                  48,           0.0052843,           0.0035495,            0.009717,             0.75698,             0.83993,             0.85045,             0.84637,           0.0017935,            0.004021,           0.0044953,            0.005347,            0.005347,            0.005347
                  49,           0.0056671,            0.003474,           0.0092404,             0.81222,             0.78644,             0.84628,              0.8445,           0.0016537,           0.0042212,           0.0047708,            0.005248,            0.005248,            0.005248
                  50,           0.0053305,           0.0034388,           0.0093064,             0.73904,              0.8558,             0.84367,             0.84128,            0.001823,           0.0031605,           0.0045764,            0.005149,            0.005149,            0.005149
                  51,           0.0050985,           0.0034601,            0.009701,             0.75972,             0.85875,             0.85085,             0.85043,            0.002024,           0.0044017,           0.0044098,             0.00505,             0.00505,             0.00505
                  52,           0.0052083,           0.0033983,           0.0097774,             0.74591,             0.83073,             0.83162,             0.82411,           0.0016879,           0.0072929,           0.0049442,            0.004951,            0.004951,            0.004951
                  53,           0.0049669,           0.0032928,           0.0095467,             0.75479,             0.85049,             0.84686,             0.84499,           0.0015836,           0.0051354,           0.0046231,            0.004852,            0.004852,            0.004852
                  54,           0.0050841,           0.0032404,           0.0095095,             0.71202,             0.85552,             0.84694,             0.84538,           0.0017278,           0.0052109,           0.0046633,            0.004753,            0.004753,            0.004753
                  55,           0.0044299,           0.0032359,           0.0091409,             0.77494,             0.83385,             0.85032,             0.84724,           0.0015712,             0.00287,           0.0044862,            0.004654,            0.004654,            0.004654
                  56,             0.00486,            0.003176,           0.0095319,             0.76292,             0.77434,             0.83261,             0.83225,           0.0015792,           0.0050252,           0.0048722,            0.004555,            0.004555,            0.004555
                  57,           0.0046502,           0.0032398,           0.0093544,             0.75202,             0.82148,             0.84702,              0.8463,           0.0017006,           0.0069035,           0.0045678,            0.004456,            0.004456,            0.004456
                  58,            0.004465,           0.0031477,           0.0093331,             0.70971,             0.84153,             0.85623,             0.85483,           0.0017533,           0.0054833,           0.0045394,            0.004357,            0.004357,            0.004357
                  59,           0.0046376,           0.0032264,           0.0091153,             0.75259,             0.80773,             0.84138,             0.84124,           0.0015631,           0.0057939,           0.0046263,            0.004258,            0.004258,            0.004258
                  60,           0.0042937,           0.0031048,           0.0098576,             0.73837,             0.83655,             0.83591,             0.83498,           0.0014191,           0.0034655,           0.0049348,            0.004159,            0.004159,            0.004159
                  61,           0.0047061,           0.0030589,            0.010268,             0.72718,              0.8583,             0.85125,             0.85077,           0.0016168,           0.0041057,           0.0045826,             0.00406,             0.00406,             0.00406
                  62,           0.0043008,           0.0030698,           0.0094967,             0.74749,             0.84407,             0.85374,             0.84721,           0.0017684,           0.0042147,           0.0044635,            0.003961,            0.003961,            0.003961
                  63,            0.004345,           0.0030606,           0.0097486,             0.76239,             0.82599,             0.85546,             0.85439,           0.0014032,           0.0041554,             0.00455,            0.003862,            0.003862,            0.003862
                  64,           0.0044285,           0.0030587,            0.009108,             0.76134,             0.85114,              0.8638,              0.8622,           0.0015358,           0.0059909,           0.0043153,            0.003763,            0.003763,            0.003763
                  65,           0.0042691,           0.0029684,           0.0089122,             0.79126,             0.80366,             0.86322,             0.86202,           0.0014438,           0.0034703,           0.0042714,            0.003664,            0.003664,            0.003664
                  66,           0.0036232,           0.0030213,           0.0089565,             0.79727,             0.84582,               0.871,              0.8647,           0.0015331,           0.0046299,           0.0042619,            0.003565,            0.003565,            0.003565
                  67,           0.0040503,           0.0029288,           0.0093629,             0.82207,             0.80246,             0.84339,             0.84313,           0.0014952,           0.0044841,           0.0047084,            0.003466,            0.003466,            0.003466
                  68,            0.003744,           0.0029065,           0.0086475,             0.76877,             0.82397,             0.85239,             0.85186,           0.0014837,           0.0031416,           0.0046252,            0.003367,            0.003367,            0.003367
                  69,           0.0041723,           0.0028475,           0.0095199,             0.73389,             0.87853,             0.85425,             0.85306,           0.0012429,           0.0034688,           0.0044523,            0.003268,            0.003268,            0.003268
                  70,           0.0035431,           0.0028047,           0.0092246,             0.77179,             0.84422,             0.86284,             0.86004,           0.0015968,           0.0054297,           0.0044103,            0.003169,            0.003169,            0.003169
                  71,           0.0037019,           0.0028136,           0.0086152,             0.80351,             0.82769,             0.86877,             0.86864,            0.001479,           0.0049382,           0.0041635,             0.00307,             0.00307,             0.00307
                  72,           0.0040181,           0.0027885,           0.0092962,             0.78933,              0.7929,             0.85402,             0.85281,           0.0013917,           0.0032566,           0.0043727,            0.002971,            0.002971,            0.002971
                  73,           0.0035664,           0.0027533,           0.0085063,             0.75515,             0.85632,             0.85168,               0.851,           0.0013645,           0.0028929,           0.0044106,            0.002872,            0.002872,            0.002872
                  74,           0.0033542,           0.0026408,           0.0085603,             0.72309,             0.88403,             0.85653,             0.85611,           0.0014008,           0.0038687,           0.0045908,            0.002773,            0.002773,            0.002773
                  75,           0.0038112,           0.0026557,           0.0089811,             0.80452,             0.79936,             0.85248,              0.8516,           0.0013845,           0.0046218,           0.0044975,            0.002674,            0.002674,            0.002674
                  76,           0.0032833,           0.0025578,           0.0084265,             0.76846,             0.84746,             0.85134,             0.85081,           0.0015289,             0.00583,           0.0044706,            0.002575,            0.002575,            0.002575
                  77,           0.0029471,            0.002553,           0.0084248,             0.81331,             0.79691,              0.8553,             0.85483,           0.0013479,           0.0040691,           0.0043429,            0.002476,            0.002476,            0.002476
                  78,           0.0031167,           0.0026138,           0.0086048,             0.78629,             0.79763,             0.85605,             0.85581,           0.0012104,           0.0043105,           0.0044235,            0.002377,            0.002377,            0.002377
                  79,           0.0031755,           0.0024325,           0.0086896,             0.80325,               0.818,             0.86637,             0.86615,           0.0012055,           0.0042799,           0.0042491,            0.002278,            0.002278,            0.002278
                  80,           0.0032825,           0.0026329,           0.0087921,             0.76313,             0.82768,             0.85097,              0.8505,           0.0012318,           0.0026629,           0.0045779,            0.002179,            0.002179,            0.002179
                  81,           0.0031047,           0.0025103,           0.0085058,             0.75097,             0.85258,             0.85845,             0.85808,           0.0012547,            0.003773,           0.0045252,             0.00208,             0.00208,             0.00208
                  82,           0.0028096,           0.0024924,           0.0088766,             0.76277,             0.84793,             0.86083,             0.86065,           0.0011688,           0.0036232,            0.004343,            0.001981,            0.001981,            0.001981
                  83,           0.0030873,            0.002467,           0.0086691,             0.79793,             0.78856,             0.84098,             0.84046,           0.0013411,            0.004641,           0.0045862,            0.001882,            0.001882,            0.001882
                  84,           0.0029851,           0.0024609,            0.008125,             0.78337,             0.83177,             0.86848,             0.86761,           0.0012417,           0.0037011,           0.0042914,            0.001783,            0.001783,            0.001783
                  85,           0.0025813,           0.0024038,           0.0079206,              0.8104,             0.82505,             0.86934,             0.86906,           0.0013162,           0.0045318,           0.0043608,            0.001684,            0.001684,            0.001684
                  86,           0.0027207,           0.0023637,           0.0081949,             0.75664,             0.83799,             0.84974,             0.84943,           0.0012927,           0.0044179,           0.0045592,            0.001585,            0.001585,            0.001585
                  87,           0.0028832,           0.0023274,           0.0080642,              0.7584,             0.85469,             0.84909,             0.84882,           0.0013855,           0.0057976,           0.0045191,            0.001486,            0.001486,            0.001486
                  88,           0.0027275,            0.002292,            0.008026,             0.77113,              0.8604,             0.86968,             0.86929,           0.0013609,           0.0040233,           0.0041861,            0.001387,            0.001387,            0.001387
                  89,           0.0022632,           0.0022039,           0.0076431,             0.75457,             0.85081,             0.86705,             0.86691,           0.0013207,           0.0042878,            0.004409,            0.001288,            0.001288,            0.001288
                  90,           0.0022282,            0.002246,           0.0075711,             0.75106,              0.8623,             0.86021,             0.85888,           0.0013159,           0.0048751,            0.004461,            0.001189,            0.001189,            0.001189
                  91,            0.002239,            0.002178,            0.007674,             0.75915,             0.84296,             0.85866,             0.85776,           0.0013064,           0.0045886,           0.0043739,             0.00109,             0.00109,             0.00109
                  92,           0.0021811,           0.0021492,            0.007653,             0.75444,             0.86026,             0.84741,             0.84629,           0.0012856,           0.0042374,           0.0047118,            0.000991,            0.000991,            0.000991
                  93,           0.0019915,           0.0020564,           0.0081207,             0.77523,             0.83088,              0.8616,             0.86118,           0.0012127,           0.0045807,           0.0044414,            0.000892,            0.000892,            0.000892
                  94,            0.002112,           0.0020963,           0.0072217,             0.79271,             0.80818,             0.86261,             0.86232,           0.0011491,           0.0045859,           0.0044911,            0.000793,            0.000793,            0.000793
                  95,           0.0020454,             0.00216,           0.0078731,             0.74262,              0.8748,             0.85264,             0.85109,           0.0011863,           0.0046117,           0.0045923,            0.000694,            0.000694,            0.000694
                  96,           0.0018046,           0.0020135,           0.0076085,             0.77648,             0.83241,             0.85317,             0.85163,            0.001231,           0.0042407,           0.0045735,            0.000595,            0.000595,            0.000595
                  97,           0.0018257,           0.0019804,           0.0074963,             0.79761,             0.81197,             0.86365,             0.86196,           0.0012073,           0.0045409,           0.0043991,            0.000496,            0.000496,            0.000496
                  98,            0.001719,            0.002003,           0.0075226,             0.76226,             0.85022,             0.86065,              0.8596,           0.0011909,           0.0042175,           0.0044894,            0.000397,            0.000397,            0.000397
                  99,           0.0018644,           0.0019906,           0.0073597,             0.78886,             0.81252,             0.85781,             0.85713,           0.0011789,            0.004015,           0.0045265,            0.000298,            0.000298,            0.000298
